species,date,max_price_kg,min_price_kg,kg_auctioned
BERETE-BORRACHO,2021-04-22,0.5,0.5,225
HUEVAS,2021-04-22,7.5,7.5,6
RAPE,2021-04-22,6,6,30
VOLADOR- POTA-POTON,2021-04-22,3,3,205
GALLANO,2021-04-22,1.5,1.5,6.5
ALMEJA FINA,2021-04-22,5,5,50
ACEDIA-GOLLETAS,2021-04-22,13.5,13.5,3.5
ESCARPON,2021-04-22,1.5,1.5,11.4
GALLO,2021-04-22,6,3.25,165.6
"CALAMARES, CHIPIRONES, PUNTILLAS",2021-04-22,6,4,230
POTA COSTERA,2021-04-22,3.5,2.5,196
CHERNA,2021-04-22,12.94,12.94,182.45
PALOMETA ROJA - ALFONSINO,2021-04-22,29.29,28.25,196.5
PEZ BALLESTA - PORCO,2021-04-22,5.5,5.5,2.8
RASCACIO - CABRACHO,2021-04-22,12.7,12.7,1.85
ALFONSINO - BESUGO (MACHOS),2021-04-22,15.5,15.5,26.7
RAPE - SAPO (NEGRO),2021-04-22,5.05,1,174.45
BERETE,2021-04-22,5,0.8,23.25
PULPO CABEZUDO,2021-04-22,3.36,3,73.9
SALMONETE DE ROCA,2021-04-22,20,18,10.4
ESCARAPOTA-CABRA,2021-04-22,12.5,10,14.3
ESCOLAR NEGRO,2021-04-22,1.2,1.2,411
PINTARROJA - MELGACHO,2021-04-22,2.5,0.5,88.25
GALLINETA,2021-04-22,5,5,20
POTA-VOLADOR,2021-04-22,3.5,2.75,109
CONGRIO,2021-04-22,2,1,199
RAPE - SAPO (BLANCO),2021-04-22,4.1,1,676.3
RAYA SANTIAGUESA,2021-04-22,2.18,2.18,41.2
MENDO - COREANO,2021-04-22,3.25,2.2,80
MEIGA,2021-04-22,3.5,3.5,45
XOUBA,2021-04-22,2.18,2.18,600
CAZON,2021-04-22,0.8,0.5,117
SOLLA,2021-04-22,2.5,2.5,150
SARGO,2021-04-22,11.5,1.62,362.65
SERRANO,2021-04-22,2,1.5,12.8
SARDINA,2021-04-22,5.2,1.3,327
SALMONETE DE FANGO,2021-04-22,15,9,11.1
SALMON,2021-04-22,7.56,4,353.7
RODABALLO,2021-04-22,17,2.8,399
RAYA,2021-04-22,4.75,1,606
RAPE-SAPO,2021-04-22,5.65,5.65,39.6
QUENLLA TINTORERA,2021-04-22,1.75,1.75,14873
PULPO,2021-04-22,10.5,6.5,342.15
PEZ ESPADA,2021-04-22,8.5,8.5,2359
PESCADILLA NEGRA,2021-04-22,2,2,120
PESCADILLA BLANCA,2021-04-22,3.9,1.2,358
PARROCHA XOUBA,2021-04-22,2.7,0.7,160
PANCHO-BICUDO  ALIGOTE,2021-04-22,5.5,3,3.25
PALOMETA-JAPUTA,2021-04-22,5.88,5,220
NAVAJA MUERGO,2021-04-22,9,4.5,15
MERLUZA BLANCA,2021-04-22,11.5,2.5,1075.6
LUBINA-ROBALIZA,2021-04-22,26,3,138.05
MARAGOTA PINTO,2021-04-22,1.5,1,9
MARRAJO,2021-04-22,12.5,12.5,46
MARUCA,2021-04-22,2,0.5,116
MEJILLON,2021-04-22,1.5,1.5,22
LISTADO,2021-04-22,2,2,2.2
LENGUADO,2021-04-22,16,2,353.95
JUREL-CHINCHO,2021-04-22,11.35,0.5,2301.5
GALLO,2021-04-22,6.5,1,724.5
FANECA,2021-04-22,4,1.5,305.1
ESCARAPOTA CABRA,2021-04-22,13,11,3.4
DORADA,2021-04-22,18,3,188.45
CORUJO (REMOL),2021-04-22,18,5,168.4
CONGRIO,2021-04-22,4,0.5,163.25
CHOUPA (CHOPA),2021-04-22,2.5,0.14,130
CHOCO-SEPIA,2021-04-22,10,4.5,428.6
CAMARON,2021-04-22,11,9,19.9
CALAMAR,2021-04-22,13.26,5,168.6
BOGA,2021-04-22,0.4,0.33,445
CABALLA-RINCHA,2021-04-22,2.2,1.45,108
BOCARTE-BOQUERON,2021-04-22,3.5,3.5,65
BESUGO,2021-04-22,30,12,95
RUBIO ESCACHO,2021-04-22,9,1,16.1
BACALAO,2021-04-22,4,4,134
BERBERECHO,2021-04-22,3.5,3.5,5
BACALADILLA-LIRIO,2021-04-22,2.25,0.5,411.4
ALMEJAS,2021-04-22,6.5,6.5,9
AGUJAS,2021-04-22,1,1,2
ACEDIAS,2021-04-22,7,5.54,136.3
ABADEJO,2021-04-22,12,4,279.85
PULPO,2021-04-23,7,7,25
BERETE-BORRACHO,2021-04-23,1,1,225
ARETE - CABRA ROJA,2021-04-23,1.14,1.14,70
CENTOLLA DEL ATLANTICO,2021-04-23,15,8,69
VOLADOR- POTA-POTON,2021-04-23,3,3,470
ACEDIA-GOLLETAS,2021-04-23,1.62,1.62,162
"CALAMARES, CHIPIRONES, PUNTILLAS",2021-04-23,6.56,4,384
CHERNA,2021-04-23,22,22,25
GALLO,2021-04-23,9.5,3,321.1
RUBIO,2021-04-23,3.43,3.43,21
PULPO BLANCO,2021-04-23,2,2,251
CORVINA,2021-04-23,3.5,3.5,6
BARBADA,2021-04-23,4.5,4.5,2.25
