species,category,subcategory
ABADEJO,Pescado,Pescado blanco
ACEDIA-GOLLETAS,Pescado,Pescado blanco
ACEDIAS,Pescado,Pescado blanco
AGUJAS,Pescado,Pescado azul
ALACHA,Pescado,Pescado azul
ALFONSINO - BESUGO (MACHOS),Pescado,Pescado semigraso
ALMEJA FINA,Marisco,Moluscos
ALMEJA JAPONESA,Marisco,Moluscos
ALMEJA RUBIA,Marisco,Moluscos
ALMEJAS,Marisco,Moluscos
ANEMONA,Marisco,Otros
ARETE - CABRA ROJA,Pescado,Pescado blanco
ATUN (PATUDO),Pescado,Pescado azul
ATUN ROJO,Pescado,Pescado azul
BACALADILLA-LIRIO,Pescado,Pescado blanco
BACALAO,Pescado,Pescado blanco
BARBADA,Pescado,Pescado blanco
BEJEL-RUBIO,Pescado,Pescado semigraso
BERBERECHO,Marisco,Moluscos
BERETE,Pescado,Pescado blanco
BERETE-BORRACHO,Pescado,Pescado blanco
BERTAN-BROTOLA,Pescado,Pescado blanco
BERTORELLA,Pescado,Pescado blanco
BESUGO,Pescado,Pescado semigraso
BOCARTE-BOQUERON,Pescado,Pescado azul
BOGA,Pescado,Pescado blanco
BOGAVANTE,Marisco,Crustaceos
BOLO (LANZON),Pescado,Pescado azul
BOLO - PION,Pescado,Pescado azul
BONITO ATLANTICO,Pescado,Pescado azul
BONITO (ATUN BLANCO),Pescado,Pescado azul
BRECA,Pescado,Pescado blanco
BROTOLA DE FANGO,Pescado,Pescado blanco
BUEY,Marisco,Crustaceos
CABALLA-RINCHA,Pescado,Pescado azul
CABALON-ESTORNINO,Pescado,Pescado azul
CABRA DE ALTURA,Pescado,Pescado semigraso
CABRAS,Pescado,Pescado semigraso
CALAMAR,Marisco,Moluscos
CALAMAR ARRASTRE,Marisco,Moluscos
"CALAMARES, CHIPIRONES, PUNTILLAS",Marisco,Moluscos
CAMARON,Marisco,Crustaceos
CARBONERO FOGONERO,Pescado,Pescado blanco
CAZON,Pescado,Pescado blanco
CAZON BLANCO,Pescado,Pescado blanco
CAZON-BOTOS-PATA ROXA,Pescado,Pescado blanco
CENTOLLA,Marisco,Otros
CENTOLLA DEL ATLANTICO,Marisco,Crustaceos
CHERNA,Pescado,Pescado semigraso
CHOCO-SEPIA,Marisco,Moluscos
CHOUPA (CHOPA),Pescado,Pescado blanco
CIGALA,Marisco,Crustaceos
CONGRIO,Pescado,Pescado blanco
CORUJO (REMOL),Pescado,Pescado blanco
CORVINA,Pescado,Pescado blanco
DONCELLA,Pescado,Pescado semigraso
DORADA,Pescado,Pescado semigraso
EGLEFINO,Pescado,Pescado blanco
ERIZO DE MAR,Marisco,Otros
ESCACHO,Pescado,Pescado blanco
ESCARAPOTA CABRA,Pescado,Pescado semigraso
ESCARAPOTA-CABRA,Pescado,Pescado semigraso
ESCARPON,Pescado,Pescado blanco
ESCOLAR - COCHINILLA-CLAVO,Pescado,Pescado azul
ESCOLAR NEGRO,Pescado,Pescado azul
FANECA,Pescado,Pescado blanco
FODON (CAPELLAN),Pescado,Pescado blanco
GALLANO,Pescado,Pescado blanco
GALLINETA,Pescado,Pescado semigraso
GALLINETA - ESCARAPOTA,Pescado,Pescado semigraso
GALLO,Pescado,Pescado blanco
GAMBAS,Marisco,Crustaceos
HUEVAS,Marisco,Otros
JUREL,Pescado,Pescado azul
JUREL-CHINCHO,Pescado,Pescado azul
JUREL - CHINCHO (FRANCES),Pescado,Pescado azul
LANGOSTINOS,Marisco,Crustaceos
LENGUADO,Pescado,Pescado blanco
LENGUADO DE ARENA,Pescado,Pescado blanco
LISTADO,Marisco,Otros
LUBINA-ROBALIZA,Pescado,Pescado semigraso
MARAGOTA PINTO,Pescado,Pescado blanco
MARRAJO,Pescado,Pescado azul
MARUCA,Pescado,Pescado blanco
MEIGA,Pescado,Pescado blanco
MEJILLON,Marisco,Moluscos
MENDO - COREANO,Pescado,Pescado azul
MENDO-LIMON,Pescado,Pescado azul
MERLUZA BLANCA,Pescado,Pescado blanco
MERO,Pescado,Pescado semigraso
MORA MORO,Pescado,Pescado azul
MUGEL (LIZA) GALUA,Pescado,Pescado blanco
MUGIL,Pescado,Pescado blanco
NAVAJA MUERGO,Marisco,Moluscos
PALO,Pescado,Pescado azul
PALO - MARUCA AZUL,Pescado,Pescado azul
PALOMETA-JAPUTA,Pescado,Pescado semigraso
PALOMETA ROJA,Pescado,Pescado semigraso
PALOMETA ROJA - ALFONSINO,Pescado,Pescado semigraso
PANCHO-BICUDO  ALIGOTE,Pescado,Pescado azul
